CÓDIGO DE TRIBUTAÇÃO NACIONAL,ITEM,SUBITEM,DESDOBRO NACIONAL,DESCRIÇÃO
,4,18,0,"Inseminação artificial, fertilização in vitro e congêneres."
41801,4,18,1,"Inseminação artificial, fertilização in vitro e congêneres."
,4,19,0,"Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres."
41901,4,19,1,"Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres."
,4,20,0,"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie."
42001,4,20,1,"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie."
,4,21,0,"Unidade de atendimento, assistência ou tratamento móvel e congêneres."
42101,4,21,1,"Unidade de atendimento, assistência ou tratamento móvel e congêneres."
,4,22,0,"Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres."
42201,4,22,1,"Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres."
,4,23,0,"Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário."
42301,4,23,1,"Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário."
,5,0,0,Serviços de medicina e assistência veterinária e congêneres.
,5,1,0,Medicina veterinária e zootecnia.
50101,5,1,1,Medicina veterinária
50102,5,1,2,Zootecnia.
,5,2,0,"Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária."
50201,5,2,1,"Hospitais e congêneres, na área veterinária."
50202,5,2,2,"Clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária."
,5,3,0,Laboratórios de análise na área veterinária.
50301,5,3,1,Laboratórios de análise na área veterinária.
,5,4,0,"Inseminação artificial, fertilização in vitro e congêneres."
50401,5,4,1,"Inseminação artificial, fertilização in vitro e congêneres."
,5,5,0,Bancos de sangue e de órgãos e congêneres.
50501,5,5,1,Bancos de sangue e de órgãos e congêneres.
,5,6,0,"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie."
50601,5,6,1,"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie."
,5,7,0,"Unidade de atendimento, assistência ou tratamento móvel e congêneres."
50701,5,7,1,"Unidade de atendimento, assistência ou tratamento móvel e congêneres."
,5,8,0,"Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres."
50801,5,8,1,"Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres."
,5,9,0,Planos de atendimento e assistência médico-veterinária.
50901,5,9,1,Planos de atendimento e assistência médico-veterinária.
,6,0,0,"Serviços de cuidados pessoais, estética, atividades físicas e congêneres."
,6,1,0,"Barbearia, cabeleireiros, manicuros, pedicuros e congêneres."
60101,6,1,1,"Barbearia, cabeleireiros, manicuros, pedicuros e congêneres."
,6,2,0,"Esteticistas, tratamento de pele, depilação e congêneres."
60201,6,2,1,"Esteticistas, tratamento de pele, depilação e congêneres."
,6,3,0,"Banhos, duchas, sauna, massagens e congêneres."
60301,6,3,1,"Banhos, duchas, sauna, massagens e congêneres."
,6,4,0,"Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas."
60401,6,4,1,"Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas."
,6,5,0,"Centros de emagrecimento, spa e congêneres."
60501,6,5,1,"Centros de emagrecimento, spa e congêneres."
,6,6,0,"Aplicação de tatuagens, piercings e congêneres."
60601,6,6,1,"Aplicação de tatuagens, piercings e congêneres."
,7,0,0,"Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres."
,7,1,0,"Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres."
70101,7,1,1,Engenharia e congêneres.
70102,7,1,2,Agronomia e congêneres.
70103,7,1,3,Agrimensura e congêneres.
70104,7,1,4,"Arquitetura, urbanismo e congêneres."
70105,7,1,5,Geologia e congêneres.
70106,7,1,6,Paisagismo e congêneres.
,7,2,0,"Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
70201,7,2,1,"Execução, por administração, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
70202,7,2,2,"Execução, por empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
,7,3,0,"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia."
70301,7,3,1,"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia."
70302,7,3,2,"Elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia."
,7,4,0,Demolição.
70401,7,4,1,Demolição.
,7,5,0,"Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
70501,7,5,1,"Reparação, conservação e reforma de edifícios e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
70502,7,5,2,"Reparação, conservação e reforma de estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
,7,6,0,"Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço."
70601,7,6,1,"Colocação e instalação de tapetes, carpetes, cortinas e congêneres, com material fornecido pelo tomador do serviço."
70602,7,6,2,"Colocação e instalação de assoalhos, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço."
,7,7,0,"Recuperação, raspagem, polimento e lustração de pisos e congêneres."
70701,7,7,1,"Recuperação, raspagem, polimento e lustração de pisos e congêneres."
,7,8,0,Calafetação.
70801,7,8,1,Calafetação.
,7,9,0,"Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
70901,7,9,1,"Varrição, coleta e remoção de lixo, rejeitos e outros resíduos quaisquer."
70902,7,9,2,"Incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
,7,10,0,"Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres."
71001,7,10,1,"Limpeza, manutenção e conservação de vias e logradouros públicos, parques, jardins e congêneres."
71002,7,10,2,"Limpeza, manutenção e conservação de imóveis, chaminés, piscinas e congêneres."
,7,11,0,"Decoração e jardinagem, inclusive corte e poda de árvores."
71101,7,11,1,Decoração.
71102,7,11,2,"Jardinagem, inclusive corte e poda de árvores."
,7,12,0,"Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos."
71201,7,12,1,"Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos."
,7,13,0,"Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres."
71301,7,13,1,"Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres."
,7,16,0,"Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios."
71601,7,16,1,"Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios."
,7,17,0,"Escoramento, contenção de encostas e serviços congêneres."
71701,7,17,1,"Escoramento, contenção de encostas e serviços congêneres."
,7,18,0,"Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres."
71801,7,18,1,"Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres."
,7,19,0,"Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo."
71901,7,19,1,"Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo."
,7,20,0,"Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres."
72001,7,20,1,"Aerofotogrametria (inclusive interpretação), cartografia, mapeamento e congêneres."
72002,7,20,2,"Levantamentos batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres."
72003,7,20,3,Levantamentos topográficos e congêneres.
,7,21,0,"Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais."
72101,7,21,1,"Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais."
,7,22,0,Nucleação e bombardeamento de nuvens e congêneres.
72201,7,22,1,Nucleação e bombardeamento de nuvens e congêneres.
,8,0,0,"Serviços de educação, ensino, orientação pedagógica e educacional, instrução, treinamento e avaliação pessoal de qualquer grau ou natureza."
,8,1,0,"Ensino regular pré-escolar, fundamental, médio e superior."
80101,8,1,1,"Ensino regular pré-escolar, fundamental e médio."
80102,8,1,2,Ensino regular superior.
,8,2,0,"Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza."
80201,8,2,1,"Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza."
,9,0,0,"Serviços relativos a hospedagem, turismo, viagens e congêneres."
,9,1,0,"Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
90101,9,1,1,"Hospedagem em hotéis, hotelaria marítima e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
90102,9,1,2,"Hospedagem em pensões, albergues, pousadas, hospedarias, ocupação por temporada com fornecimento de serviços e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
90103,9,1,3,"Hospedagem em motéis e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
90104,9,1,4,"Hospedagem em apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
,9,2,0,"Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres."
90201,9,2,1,"Agenciamento e intermediação de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres."
90202,9,2,2,"Organização, promoção e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres."
,9,3,0,Guias de turismo.
90301,9,3,1,Guias de turismo.
,10,0,0,Serviços de intermediação e congêneres.
,10,1,0,"Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada."
100101,10,1,1,"Agenciamento, corretagem ou intermediação de câmbio."
100102,10,1,2,"Agenciamento, corretagem ou intermediação de seguros."
100103,10,1,3,"Agenciamento, corretagem ou intermediação de cartões de crédito."
100104,10,1,4,"Agenciamento, corretagem ou intermediação de planos de saúde."
100105,10,1,5,"Agenciamento, corretagem ou intermediação de planos de previdência privada."
,10,2,0,"Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer."
100201,10,2,1,"Agenciamento, corretagem ou intermediação de títulos em geral e valores mobiliários."
100202,10,2,2,"Agenciamento, corretagem ou intermediação de contratos quaisquer."
,10,3,0,"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária."
100301,10,3,1,"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária."
,10,4,0,"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring)."
100401,10,4,1,"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing)."
100402,10,4,2,"Agenciamento, corretagem ou intermediação de contratos de franquia (franchising)."
100403,10,4,3,"Agenciamento, corretagem ou intermediação de faturização (factoring)."
,10,5,0,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios."
100501,10,5,1,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, por quaisquer meios."
100502,10,5,2,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios."
,10,6,0,Agenciamento marítimo.
100601,10,6,1,Agenciamento marítimo.
,10,7,0,Agenciamento de notícias.
100701,10,7,1,Agenciamento de notícias.
,10,8,0,"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios."
100801,10,8,1,"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios."
,10,9,0,"Representação de qualquer natureza, inclusive comercial."
100901,10,9,1,"Representação de qualquer natureza, inclusive comercial."
,10,10,0,Distribuição de bens de terceiros.
101001,10,10,1,Distribuição de bens de terceiros.
,11,0,0,"Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres."
,11,1,0,"Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações."
110101,11,1,1,Guarda e estacionamento de veículos terrestres automotores.
110102,11,1,2,Guarda e estacionamento de aeronaves e de embarcações.
,11,2,0,"Vigilância, segurança ou monitoramento de bens, pessoas e semoventes."
110201,11,2,1,"Vigilância, segurança ou monitoramento de bens, pessoas e semoventes."
,11,3,0,"Escolta, inclusive de veículos e cargas."
110301,11,3,1,"Escolta, inclusive de veículos e cargas."
,11,4,0,"Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie."
110401,11,4,1,"Armazenamento, depósito, guarda de bens de qualquer espécie."
110402,11,4,2,"Carga, descarga, arrumação de bens de qualquer espécie."
,11,5,0,"Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza."
110501,11,5,1,"Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza."
,12,0,0,"Serviços de diversões, lazer, entretenimento e congêneres."
,12,1,0,Espetáculos teatrais.
120101,12,1,1,Espetáculos teatrais.
,12,2,0,Exibições cinematográficas.
120201,12,2,1,Exibições cinematográficas.
,12,3,0,Espetáculos circenses.
120301,12,3,1,Espetáculos circenses.
,12,4,0,Programas de auditório.
120401,12,4,1,Programas de auditório.
,12,5,0,"Parques de diversões, centros de lazer e congêneres."
120501,12,5,1,"Parques de diversões, centros de lazer e congêneres."
,12,6,0,"Boates, taxi-dancing e congêneres."
120601,12,6,1,"Boates, taxi-dancing e congêneres."
,12,7,0,"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres."
120701,12,7,1,"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres."
,12,8,0,"Feiras, exposições, congressos e congêneres."
120801,12,8,1,"Feiras, exposições, congressos e congêneres."
,12,9,0,"Bilhares, boliches e diversões eletrônicas ou não."
120901,12,9,1,Bilhares.
120902,12,9,2,Boliches.
120903,12,9,3,Diversões eletrônicas ou não.
,12,10,0,Corridas e competições de animais.
121001,12,10,1,Corridas e competições de animais.
,12,11,0,"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador."
121101,12,11,1,"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador."
,12,12,0,Execução de música.
121201,12,12,1,Execução de música.
,12,13,0,"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres."
121301,12,13,1,"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres."
,12,14,0,"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo."
121401,12,14,1,"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo."
,12,15,0,"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres."
121501,12,15,1,"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres."
,12,16,0,"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres."
121601,12,16,1,"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres."
,12,17,0,"Recreação e animação, inclusive em festas e eventos de qualquer natureza."
121701,12,17,1,"Recreação e animação, inclusive em festas e eventos de qualquer natureza."
,13,0,0,"Serviços relativos a fonografia, fotografia, cinematografia e reprografia."
,13,2,0,"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres."
130201,13,2,1,"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres."
,13,3,0,"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres."
130301,13,3,1,"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres."
,13,4,0,"Reprografia, microfilmagem e digitalização."
130401,13,4,1,"Reprografia, microfilmagem e digitalização."
,13,5,0,"Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS."
130501,13,5,1,"Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS."
,14,0,0,Serviços relativos a bens de terceiros.
,14,1,0,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)."
140101,14,1,1,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)."
,14,2,0,Assistência técnica.
140201,14,2,1,Assistência técnica.
,14,3,0,"Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)."
140301,14,3,1,"Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)."
,14,4,0,Recauchutagem ou regeneração de pneus.
140401,14,4,1,Recauchutagem ou regeneração de pneus.
