cnae_subclasse,cnae_mascara,cnae_descricao,item_lc116,descricao_atividade_lc
6120599,6120-5/99,Serviços de telecomunicações sem fio não especificados anteriormente,01.09,"1.09 - Disponibilização, sem cessão definitiva, de conteúdo de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei federal nº
 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
6190699,6190-6/99,Outras atividades de telecomunicações não especificadas anteriormente,01.09,"1.09 - Disponibilização, sem cessão definitiva, de conteúdo de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei federal nº
 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
6319400,6319-4/00,"Portais, provedores de conteúdo e outros serviços de informação na internet",01.09,"1.09 - Disponibilização, sem cessão definitiva, de conteúdo de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei federal nº
 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
0230600,0230-6/00,Atividades de apoio à produção florestal,02.01,2.01 - Serviços de pesquisas e desenvolvimento de qualquer natureza.
7120100,7120-1/00,Testes e análises técnicas,02.01,2.01 - Serviços de pesquisas e desenvolvimento de qualquer natureza.
7210000,7210-0/00,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,02.01,2.01 - Serviços de pesquisas e desenvolvimento de qualquer natureza.
7220700,7220-7/00,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,02.01,2.01 - Serviços de pesquisas e desenvolvimento de qualquer natureza.
5913800,5913-8/00,"Distribuição cinematográfica, de vídeo e de programas de televisão",03.02,3.02 - Cessão de direito de uso de marcas e de sinais de propaganda.
7319001,7319-0/01,Criação de estandes para feiras e exposições,03.03,"3.03 - Centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de
 diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza."
8230002,8230-0/02,Casas de festas e eventos,03.03,"3.03 - Centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de
 diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza."
8299707,8299-7/07,Salas de acesso à internet,03.03,"3.03 - Centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de
 diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza."
9003500,9003-5/00,"Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas",03.03,"3.03 - Centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de
 diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza."
9312300,9312-3/00,"Clubes sociais, esportivos e similares",03.03,"3.03 - Centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de
 diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza."
5221400,5221-4/00,"Concessionárias de rodovias, pontes, túneis e serviços relacionados",03.04,"3.04 - Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos,
 dutos e condutos de qualquer natureza."
4399104,4399-1/04,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,03.05,"3.05 - Cessão de palcos, coberturas e outras estruturas de uso temporário."
7319001,7319-0/01,Criação de estandes para feiras e exposições,03.05,"3.05 - Cessão de palcos, coberturas e outras estruturas de uso temporário."
7721700,7721-7/00,Aluguel de equipamentos recreativos e esportivos,03.05,"3.05 - Cessão de palcos, coberturas e outras estruturas de uso temporário."
7732202,7732-2/02,Aluguel de andaimes,03.05,"3.05 - Cessão de palcos, coberturas e outras estruturas de uso temporário."
7739003,7739-0/03,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",03.05,"3.05 - Cessão de palcos, coberturas e outras estruturas de uso temporário."
8630501,8630-5/01,Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos,04.01,4.01 - Medicina e biomedicina.
8630502,8630-5/02,Atividade médica ambulatorial com recursos para realização de exames complementares,04.01,4.01 - Medicina e biomedicina.
8630503,8630-5/03,Atividade médica ambulatorial restrita a consultas,04.01,4.01 - Medicina e biomedicina.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.01,4.01 - Medicina e biomedicina.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.01,4.01 - Medicina e biomedicina.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.01,4.01 - Medicina e biomedicina.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.01,4.01 - Medicina e biomedicina.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.01,4.01 - Medicina e biomedicina.
8630502,8630-5/02,Atividade médica ambulatorial com recursos para realização de exames complementares,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640203,8640-2/03,Serviços de diálise e nefrologia,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640204,8640-2/04,Serviços de tomografia,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640205,8640-2/05,"Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia",04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640206,8640-2/06,Serviços de ressonância magnética,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640207,8640-2/07,"Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética",04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640208,8640-2/08,"Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos",04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640209,8640-2/09,Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640210,8640-2/10,Serviços de quimioterapia,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640211,8640-2/11,Serviços de radioterapia,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640213,8640-2/13,Serviços de litotripsia,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.02,"4.02 - Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia,
 tomografia e congêneres."
8610101,8610-1/01,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8610102,8610-1/02,Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8630506,8630-5/06,Serviços de vacinação e imunização humana,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8640201,8640-2/01,Laboratórios de anatomia patológica e citológica,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8640202,8640-2/02,Laboratórios clínicos,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8640203,8640-2/03,Serviços de diálise e nefrologia,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8720401,8720-4/01,Atividades de centros de assistência psicossocial,04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.03,"4.03 - Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.04,4.04 - Instrumentação cirúrgica.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.04,4.04 - Instrumentação cirúrgica.
8650001,8650-0/01,Atividades de enfermagem,04.04,4.04 - Instrumentação cirúrgica.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.04,4.04 - Instrumentação cirúrgica.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.04,4.04 - Instrumentação cirúrgica.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.04,4.04 - Instrumentação cirúrgica.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.05,4.05 - Acupuntura.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.05,4.05 - Acupuntura.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.05,4.05 - Acupuntura.
8690903,8690-9/03,Atividades de acupuntura,04.05,4.05 - Acupuntura.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.05,4.05 - Acupuntura.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.05,4.05 - Acupuntura.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.06,"4.06 - Enfermagem, inclusive serviços auxiliares."
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.06,"4.06 - Enfermagem, inclusive serviços auxiliares."
8650001,8650-0/01,Atividades de enfermagem,04.06,"4.06 - Enfermagem, inclusive serviços auxiliares."
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.06,"4.06 - Enfermagem, inclusive serviços auxiliares."
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.06,"4.06 - Enfermagem, inclusive serviços auxiliares."
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.06,"4.06 - Enfermagem, inclusive serviços auxiliares."
4771702,4771-7/02,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",04.07,4.07 - Serviços farmacêuticos.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.07,4.07 - Serviços farmacêuticos.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.07,4.07 - Serviços farmacêuticos.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.07,4.07 - Serviços farmacêuticos.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.07,4.07 - Serviços farmacêuticos.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.07,4.07 - Serviços farmacêuticos.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.08,"4.08 - Terapia ocupacional, fisioterapia e fonoaudiologia."
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.08,"4.08 - Terapia ocupacional, fisioterapia e fonoaudiologia."
8650004,8650-0/04,Atividades de fisioterapia,04.08,"4.08 - Terapia ocupacional, fisioterapia e fonoaudiologia."
8650005,8650-0/05,Atividades de terapia ocupacional,04.08,"4.08 - Terapia ocupacional, fisioterapia e fonoaudiologia."
8650006,8650-0/06,Atividades de fonoaudiologia,04.08,"4.08 - Terapia ocupacional, fisioterapia e fonoaudiologia."
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.08,"4.08 - Terapia ocupacional, fisioterapia e fonoaudiologia."
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.08,"4.08 - Terapia ocupacional, fisioterapia e fonoaudiologia."
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.08,"4.08 - Terapia ocupacional, fisioterapia e fonoaudiologia."
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8640212,8640-2/12,Serviços de hemoterapia,04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8650007,8650-0/07,Atividades de terapia de nutrição enteral e parenteral,04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8690901,8690-9/01,Atividades de práticas integrativas e complementares em saúde humana,04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8711503,8711-5/03,"Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes",04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.09,"4.09 - Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.10,4.10 - Nutrição.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.10,4.10 - Nutrição.
8650002,8650-0/02,Atividades de profissionais da nutrição,04.10,4.10 - Nutrição.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.10,4.10 - Nutrição.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.10,4.10 - Nutrição.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.10,4.10 - Nutrição.
8630501,8630-5/01,Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos,04.11,4.11 - Obstetrícia.
8630502,8630-5/02,Atividade médica ambulatorial com recursos para realização de exames complementares,04.11,4.11 - Obstetrícia.
8630503,8630-5/03,Atividade médica ambulatorial restrita a consultas,04.11,4.11 - Obstetrícia.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.11,4.11 - Obstetrícia.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.11,4.11 - Obstetrícia.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.11,4.11 - Obstetrícia.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.11,4.11 - Obstetrícia.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.11,4.11 - Obstetrícia.
8630504,8630-5/04,Atividade odontológica,04.12,4.12 - Odontologia.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.12,4.12 - Odontologia.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.12,4.12 - Odontologia.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.12,4.12 - Odontologia.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.12,4.12 - Odontologia.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.12,4.12 - Odontologia.
3250709,3250-7/09,Serviço de laboratório óptico,04.13,4.13 - Ortóptica.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.13,4.13 - Ortóptica.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.13,4.13 - Ortóptica.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.13,4.13 - Ortóptica.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.13,4.13 - Ortóptica.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.13,4.13 - Ortóptica.
3250706,3250-7/06,Serviços de prótese dentária,04.14,4.14 - Próteses sob encomenda.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.14,4.14 - Próteses sob encomenda.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.14,4.14 - Próteses sob encomenda.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.14,4.14 - Próteses sob encomenda.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.14,4.14 - Próteses sob encomenda.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.14,4.14 - Próteses sob encomenda.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.15,4.15 - Psicanálise.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.15,4.15 - Psicanálise.
8650003,8650-0/03,Atividades de psicologia e psicanálise,04.15,4.15 - Psicanálise.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.15,4.15 - Psicanálise.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.15,4.15 - Psicanálise.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.15,4.15 - Psicanálise.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.16,4.16 - Psicologia.
8640299,8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,04.16,4.16 - Psicologia.
8650003,8650-0/03,Atividades de psicologia e psicanálise,04.16,4.16 - Psicologia.
8650099,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,04.16,4.16 - Psicologia.
8690999,8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente,04.16,4.16 - Psicologia.
8720499,8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
 e grupos similares não especificadas anteriormente",04.16,4.16 - Psicologia.
8630599,8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente,04.17,"4.17 - Casas de repouso e de recuperação, creches, asilos e congêneres."
